dataset,filter,family,size,strategy,ef,pass,queries,recall_at_10,perfect_frac,sim_regret,p50_ms,p95_ms,p99_ms,mean_ms,mean_dist_comps,mean_seed_dist_comps,mean_filter_checks,mean_nodes_popped,median_pop_idx_cand_full,median_pop_idx_results_full,mean_twohop_examined,mean_twohop_appended,mean_prefilter_skips,mean_secondorder_allocs,mean_reencountered_burned,strategy_used
beir500k-f32,pos10_cat00,pos10,69460,sweeping,64,1,12,1.0000,1.0000,0.00000,1.305,1.677,2.266,1.323,2543.8,0.0,377.4,133.8,3.0,7.0,0.0,0.0,0.0,0.0,0.00,sweeping:12
beir500k-f32,pos10_cat00,pos10,69460,sweeping,64,2,12,1.0000,1.0000,0.00000,1.318,1.632,2.405,1.331,2543.8,0.0,377.4,133.8,3.0,7.0,0.0,0.0,0.0,0.0,0.00,sweeping:12
beir500k-f32,pos10_cat00,pos10,69460,sweeping,64,3,12,1.0000,1.0000,0.00000,1.373,1.712,2.252,1.339,2543.8,0.0,377.4,133.8,3.0,7.0,0.0,0.0,0.0,0.0,0.00,sweeping:12
beir500k-f32,pos10_cat00,pos10,69460,sweeping,128,1,12,1.0000,1.0000,0.00000,2.643,3.651,4.786,2.620,5128.3,0.0,720.4,304.8,6.0,14.0,0.0,0.0,0.0,0.0,0.00,sweeping:12
beir500k-f32,pos10_cat00,pos10,69460,sweeping,128,2,12,1.0000,1.0000,0.00000,2.645,3.715,4.806,2.643,5128.3,0.0,720.4,304.8,6.0,14.0,0.0,0.0,0.0,0.0,0.00,sweeping:12
beir500k-f32,pos10_cat00,pos10,69460,sweeping,128,3,12,1.0000,1.0000,0.00000,2.623,3.577,4.794,2.605,5128.3,0.0,720.4,304.8,6.0,14.0,0.0,0.0,0.0,0.0,0.00,sweeping:12
beir500k-f32,pos10_cat00,pos10,69460,sweeping,256,1,12,1.0000,1.0000,0.00000,6.230,9.013,9.077,5.778,9785.0,0.0,1436.9,668.8,11.0,25.0,0.0,0.0,0.0,0.0,0.00,sweeping:12
beir500k-f32,pos10_cat00,pos10,69460,sweeping,256,2,12,1.0000,1.0000,0.00000,5.404,8.407,8.730,5.241,9785.0,0.0,1436.9,668.8,11.0,25.0,0.0,0.0,0.0,0.0,0.00,sweeping:12
beir500k-f32,pos10_cat00,pos10,69460,sweeping,256,3,12,1.0000,1.0000,0.00000,5.279,8.283,8.944,5.184,9785.0,0.0,1436.9,668.8,11.0,25.0,0.0,0.0,0.0,0.0,0.00,sweeping:12
beir500k-f32,pos10_cat00,pos10,69460,sweeping,512,1,12,1.0000,1.0000,0.00000,10.998,15.687,16.012,10.184,17965.2,0.0,2992.4,1457.2,24.0,55.0,0.0,0.0,0.0,0.0,0.00,sweeping:12
beir500k-f32,pos10_cat00,pos10,69460,sweeping,512,2,12,1.0000,1.0000,0.00000,10.848,14.399,15.796,10.033,17965.2,0.0,2992.4,1457.2,24.0,55.0,0.0,0.0,0.0,0.0,0.00,sweeping:12
beir500k-f32,pos10_cat00,pos10,69460,sweeping,512,3,12,1.0000,1.0000,0.00000,11.087,15.210,16.257,10.362,17965.2,0.0,2992.4,1457.2,24.0,55.0,0.0,0.0,0.0,0.0,0.00,sweeping:12
beir500k-f32,pos10_cat00,pos10,69460,acorn,64,1,12,1.0000,1.0000,0.00000,1.640,1.960,2.208,1.444,1893.8,10.0,7899.6,66.0,2.0,2.0,0.0,0.0,0.0,0.0,0.00,acorn:9|rre:3
beir500k-f32,pos10_cat00,pos10,69460,acorn,64,2,12,1.0000,1.0000,0.00000,1.614,1.932,2.298,1.427,1893.8,10.0,7899.6,66.0,2.0,2.0,0.0,0.0,0.0,0.0,0.00,acorn:9|rre:3
beir500k-f32,pos10_cat00,pos10,69460,acorn,64,3,12,1.0000,1.0000,0.00000,1.581,1.881,2.123,1.393,1893.8,10.0,7899.6,66.0,2.0,2.0,0.0,0.0,0.0,0.0,0.00,acorn:9|rre:3
beir500k-f32,pos10_cat00,pos10,69460,acorn,128,1,12,1.0000,1.0000,0.00000,2.723,3.072,3.553,2.294,3130.5,10.0,12749.9,130.1,3.0,3.0,0.0,0.0,0.0,0.0,0.00,acorn:9|rre:3
beir500k-f32,pos10_cat00,pos10,69460,acorn,128,2,12,1.0000,1.0000,0.00000,2.800,3.249,3.534,2.354,3130.5,10.0,12749.9,130.1,3.0,3.0,0.0,0.0,0.0,0.0,0.00,acorn:9|rre:3
beir500k-f32,pos10_cat00,pos10,69460,acorn,128,3,12,1.0000,1.0000,0.00000,2.719,3.388,3.519,2.367,3130.5,10.0,12749.9,130.1,3.0,3.0,0.0,0.0,0.0,0.0,0.00,acorn:9|rre:3
beir500k-f32,pos10_cat00,pos10,69460,acorn,256,1,12,1.0000,1.0000,0.00000,4.736,5.489,5.698,3.890,5015.7,10.0,19832.2,257.9,5.0,5.0,0.0,0.0,0.0,0.0,0.00,acorn:9|rre:3
beir500k-f32,pos10_cat00,pos10,69460,acorn,256,2,12,1.0000,1.0000,0.00000,4.767,5.815,5.970,3.957,5015.7,10.0,19832.2,257.9,5.0,5.0,0.0,0.0,0.0,0.0,0.00,acorn:9|rre:3
beir500k-f32,pos10_cat00,pos10,69460,acorn,256,3,12,1.0000,1.0000,0.00000,4.872,5.481,5.697,3.923,5015.7,10.0,19832.2,257.9,5.0,5.0,0.0,0.0,0.0,0.0,0.00,acorn:9|rre:3
beir500k-f32,pos10_cat00,pos10,69460,acorn,512,1,12,1.0000,1.0000,0.00000,7.264,8.636,9.012,6.218,7944.3,10.0,30444.6,514.2,12.0,12.0,0.0,0.0,0.0,0.0,0.00,acorn:9|rre:3
beir500k-f32,pos10_cat00,pos10,69460,acorn,512,2,12,1.0000,1.0000,0.00000,7.478,9.001,9.271,6.442,7944.3,10.0,30444.6,514.2,12.0,12.0,0.0,0.0,0.0,0.0,0.00,acorn:9|rre:3
beir500k-f32,pos10_cat00,pos10,69460,acorn,512,3,12,1.0000,1.0000,0.00000,7.385,8.304,9.658,6.338,7944.3,10.0,30444.6,514.2,12.0,12.0,0.0,0.0,0.0,0.0,0.00,acorn:9|rre:3
beir500k-f32,pos10_cat00,pos10,69460,pathseer,64,1,12,1.0000,1.0000,0.00000,0.852,0.929,1.079,0.847,1507.3,0.0,1289.7,103.2,3.0,5.0,122.7,30.2,613.3,1.9,0.00,pathseer:12
beir500k-f32,pos10_cat00,pos10,69460,pathseer,64,2,12,1.0000,1.0000,0.00000,0.836,0.926,1.096,0.842,1507.3,0.0,1289.7,103.2,3.0,5.0,122.7,30.2,613.3,1.9,0.00,pathseer:12
beir500k-f32,pos10_cat00,pos10,69460,pathseer,64,3,12,1.0000,1.0000,0.00000,0.858,0.937,1.130,0.849,1507.3,0.0,1289.7,103.2,3.0,5.0,122.7,30.2,613.3,1.9,0.00,pathseer:12
